Campaign Name,Campaign Status,Campaign Type,Start Date,End Date,Expected Response (%),Responses in Campaign,Contacts in Campaign,Donations in Campaign,Won Donations in Campaign,Value Won Donations in Campaign,Value Donations in Campaign,Expected Revenue in Campaign,Budgeted Cost in Campaign,Actual Cost in Campaign,ROI,Average Cost Per Customer,Average Cost Per Response,% of Goal Reached,Average Gift,Classy Campaign - DEPRECATED,Classy Campaign Hierarchy,Classy Campaign ID,Classy Designations
FY08 Misc,Completed,Other,7/1/07,6/30/08,0,0,0,64,64,107866,107866,,,,,,,0,1685.41,,,,
FY08 GlobalGiving,Completed,Online,7/1/07,6/30/08,0,1,1,155,155,62851,62851,,,,,,,0,405.49,,,,
FY11 Random Events/Outreach,Completed,Panel Event,3/15/11,6/30/11,0,13,16,0,0,0,0,0,0,,,,,0,0,,,,
FY08 Asia Flood Relief,Completed,Other,8/1/07,12/31/07,0,0,0,5,5,38000,38000,,,,,,,0,7600,,,,
Nwamaka Agbo,Active,Fundraiser,12/22/16,12/22/26,0,3,3,0,0,0,0,500,,,,,,0,0,,Fundraiser,867088,General Funds Project
FY08 Rix House Party,Completed,House Party,9/6/07,9/6/07,0,0,0,14,14,2410,2410,,,,,,,0,172.14,,,,
It takes courage... (Peer to peer),Active,Fundraising Campaign,11/1/16,2/1/17,0,138,138,143,143,17105,17105,100000,,,,,,17,119.61,,Campaign,104057,General Funds Project
Jennifer Lentfer,Active,Fundraiser,11/14/16,2/1/17,0,26,26,0,0,0,0,2000,,,,,,0,0,,Fundraiser,838100,General Funds Project
Veronica Moreno,Active,Fundraiser,11/28/16,1/2/27,0,14,14,0,0,0,0,1500,,,,,,0,0,,Fundraiser,852562,General Funds Project
FY15 IFIP NYC 2014,In Progress,call/ email/ meeting for cultivation,,,0,4,4,0,0,0,0,0,0,,,,,0,0,,,,
FY14 YPG,Completed,Other,7/1/13,6/30/14,0,0,0,0,0,0,0,0,0,,,,,0,0,,,,
Reimagining Wealth,Active,Fundraising Campaign,11/19/14,2/1/15,0,159,163,260,258,146099,146299,110000,15000,,,,,133,516.17,,Campaign,39951,IDEX November 2014-June 2015
FY14 Zimbabwe Alliance,Planned,Other,1/1/14,6/30/14,0,0,0,1,1,1000,1000,0,0,,,,,0,1000,,,,
FY15 YPG,Planned,Other,7/1/14,6/30/15,0,0,0,0,0,0,0,0,0,,,,,0,0,,,,
MailChimp Campaign: November Fundraising Campaign- Final,Completed,Email,11/20/14,,0,0,8250,0,0,0,0,,,0,,,,0,0,,,,
IDEX Website Donation Page,Active,Donation Page,11/10/14,11/10/24,0,406,407,726,289,30549,33174,200000,0,,,,,15,105.71,,Campaign,39817,IDEX November 2014-June 2015
"What I want for Christmas, Hannukah, Kwanzaa and a genuinely Happy 2015!",Active,Fundraiser,11/20/14,12/31/14,0,0,0,1,1,57,57,5000,,,,,,1,56.62,,Fundraiser,378535,General Funds Project
What's Love Got to do with it?,Active,Fundraiser,11/20/14,1/31/15,0,2,2,10,10,833,833,1500,,,,,,56,83.29,,Fundraiser,378559,General Funds Project
Africans in the Diaspora,Active,Fundraising Campaign,12/1/15,2/7/16,0,129,129,14,14,1251,1251,40000,,,,,,3,73.09,,Campaign,40708,General Funds Project
FY14 Tabling Acquisition,Planned,Email,7/1/13,6/30/14,0,0,0,0,0,0,0,0,0,,,,,0,0,,,,
FY14 One Billion Rising,Completed,,,,0,0,0,1,1,5244,5244,5000,0,,,,,105,5244,,,,
ASHOKA March 2014,In Progress,Other,3/1/14,3/31/14,0,12,12,0,0,0,0,0,0,,,,,0,0,,,,
FY15 Sustainer,In Progress,Online,7/1/14,6/30/15,0,0,0,134,134,5421,5421,0,0,,,,,0,40.45,,,,
FY14 Theory of Change Dissem.,In Progress,Other,1/29/14,,0,2,2,0,0,0,0,0,0,,,,,0,0,,,,
FY14 MID Stewardship,In Progress,call/ email/ meeting for cultivation,10/1/13,1/31/14,0,0,131,0,0,0,0,0,0,,,,,0,0,,,,
MailChimp Campaign: 30th Birthday - Invitation #2,Completed,Email,4/23/15,,0,0,159,0,0,0,0,,,0,,,,0,0,,,,
MailChimp Campaign: Nepal Update #2 5/15/15,Completed,Email,5/15/15,,0,0,163,0,0,0,0,,,0,,,,0,0,,,,
IDEX Website Donation Page,Deleted,Donation Page,11/12/14,11/12/17,0,1,1,0,0,0,0,700000,,,,,,0,0,,Campaign,39950,IDEX November 2014-June 2015
Event test,Active,Ticketed,6/6/16,6/6/16,0,0,0,0,0,0,0,100,,,,,,0,0,,Campaign,83119,General Funds Project
MailChimp Campaign: December E-Alert 1 - Dec 9,Completed,Email,12/9/14,,0,0,6886,0,0,0,0,0,0,0,,,,0,0,,,,
FY14 Food Justice Learning Salon,In Progress,Email,7/1/13,6/30/14,0,0,0,0,0,0,0,0,0,,,,,0,0,,,,
FY14 Maria Estela Chiapas,Completed,Event,,,0,27,27,0,0,0,0,0,0,,,,,0,0,,,,
FY15 Nepal Recovery and Resilience Fund,Active,Donation Page,4/27/15,6/30/15,0,192,192,215,213,42095,55095,10000,,,,,,421,197.63,,Campaign,49237,IDEX November 2014-June 2015
IDEX YPG - Denver Chapter Event,Unpublished,Registration,5/16/15,5/16/15,0,0,0,0,0,0,0,2000,,,,,,0,0,,Campaign,49993,IDEX November 2014-June 2015
IDEX YPG - Denver Chapter Peer-to-Peer Campaign,Unpublished,Fundraising Campaign,5/8/15,12/31/15,0,0,0,0,0,0,0,5000,,,,,,0,0,,Campaign,49994,General Funds Project
FY15 victorias camp,In Progress,Other,5/13/15,5/14/15,0,0,12,0,0,0,0,0,0,,,,,0,0,,,,
FY14 Giving Tuesday,Completed,Email,12/2/13,12/10/13,0,0,0,8,8,705,705,0,0,,,,,0,88.13,,,,
FY14 Mary Tal in SF,Completed,Event,11/17/13,12/17/13,0,0,0,4,4,110,110,0,376,,,,,0,27.5,,,,
FY14 Fall Campaign Email,Completed,Email,12/16/13,1/10/14,0,0,12461,30,30,9863,9863,5000,100,,,,,197,328.77,,,,
FY14 Summer Digest,In Progress,Direct Mail,6/15/14,7/15/14,0,0,0,19,18,4110,4235,0,0,,,,,0,228.33,,,,
FY14 Fall Campaign,In Progress,Direct Mail,11/26/13,1/10/14,0,0,5961,95,95,57484,57484,80000,7000,,,,,72,605.09,,,,
FY14 African Diaspora Dinner,In Progress,Other,4/14/14,5/1/14,0,0,19,0,0,0,0,0,0,,,,,0,0,,,,
FY14 Desmond SF event email list,Completed,Email,4/21/14,5/16/14,0,43,4737,11,11,495,495,3000,2000,1609,-69.23555003,146.27,37.42,17,45,,,,
FY15 Major Gifts,Planned,Other,7/1/14,7/1/15,0,0,0,1,1,25510,25510,0,0,,,,,0,25510.2,,,,
FY14 Care2 Acquisition,In Progress,Email,12/1/13,6/30/14,0,0,2704,0,0,0,0,4740,4740,,,,,0,0,,,,
FY14 Mary Tal in New York,Completed,Event,4/3/14,5/15/14,0,28,106,6,6,1630,1630,0,200,,,,,0,271.67,,,,
FY14 Maria Estela in Oakland,Completed,House Party,4/3/14,5/1/14,0,5,48,2,2,1250,1250,1250,200,0,,0,0,100,625,,,,
African Diaspora,In Progress,Other,4/4/14,,0,1,1,1,1,500,500,0,0,,,,,0,500,,,,
FY15 Reimagining Wealth Postcard,Completed,Direct Mail,12/9/14,1/31/15,0,0,234,0,0,0,0,0,0,,,,,0,0,,,,
FY14 AFEDES Dinner January,Completed,Event,1/16/14,2/28/14,0,0,32,0,0,0,0,0,1500,,,,,0,0,,,,
FY14 Desmond at Wallace Global Fund,Completed,Other,,,0,7,7,0,0,0,0,0,0,,,,,0,0,,,,
FY14 Seattle iLEAP Partner Event,Completed,Event,10/30/13,11/7/13,0,0,153,0,0,0,0,0,0,,,,,0,0,,,,
Test 1,Planned,,,,0,0,0,0,0,0,0,,,,,,,0,0,,,,
FY15 Foundations,Completed,,7/1/14,6/30/15,0,0,0,34,27,1307300,1307300,0,0,,,,,0,48418.52,,,,
FY14 Desmond Dsa in DC,Completed,House Party,4/9/14,5/31/14,0,18,46,0,0,0,0,0,600,,,,,0,0,,,,
FY14 Desmond D'Sa VIP invites for SF event,Completed,Direct Mail,4/22/14,5/30/14,0,0,102,1,1,2050,2050,0,0,,,,,0,2050,,,,
FY15 Off the Greed Annual Event,Completed,Event,6/1/14,9/30/14,0,1,8900,43,42,21198,22198,20000,20000,18675,13.51004016,444.64,18675,106,504.71,,,,
FY14 Dasra Philanthropy Week/Indian Philanthropy Forum,Completed,Event,3/5/14,3/7/14,0,19,32,0,0,0,0,0,1040,745,-100,,39.21,0,0,,,,
TEST,Deleted,Fundraising Campaign,3/18/15,3/19/15,0,0,0,0,0,0,0,110000,,,,,,0,0,,Campaign,46143,General Funds Project
FY14 Board,In Progress,Other,7/1/13,6/30/14,0,0,0,1,1,500,500,0,0,,,,,0,500,,,,
FY14 Winter Digest,Planned,,,,0,0,0,0,0,0,0,100,0,,,,,0,0,,,,
FY14 Tabling,In Progress,Event,8/1/13,7/31/14,0,0,0,1,1,25,25,0,0,,,,,0,25,,,,
Vq and vero fun,Deleted,Donation Page,3/18/15,3/18/25,0,0,0,0,0,0,0,0,,,,,,0,0,,Campaign,46142,General Funds Project
FY15 NY Soft Launch,In Progress,Event,8/15/14,9/30/14,0,0,606,0,0,0,0,0,0,,,,,0,0,,,,
FY14 Charitable Website Giving,In Progress,Online,,,0,0,0,0,0,0,0,1000,0,,,,,0,0,,,,
FY 13 Sustainer Campaign,Completed,Email,,,0,0,5659,0,0,0,0,1500,0,,,,,0,0,,,,
Donors with Emails Test June,Completed,Email,6/14/11,8/14/11,0,0,1348,0,0,0,0,0,0,,,,,0,0,,,,
FY12 Other Worlds - Fiscal Sponsor,Completed,Other,8/1/11,6/30/12,0,2,2,46,46,85600,85600,0,0,,,,,0,1860.87,,,,
FY13 Annual Event,Completed,Event,4/15/13,6/30/13,0,2,146,21,21,17365,17365,30000,10000,,,,,58,826.9,,,,
FY12 Theory of Change - Seattle,Completed,Other,,,0,0,0,0,0,0,0,0,0,,,,,0,0,,,,
FY11 MoAD event with Desmond signups,Completed,Email,6/24/11,7/28/11,0,4,4,1,1,25,25,0,0,,,,,0,25,,,,
FY12 Sustainer,Completed,Other,7/1/10,6/30/11,0,3,3,334,334,13297,13297,0,1000,,,,,0,39.81,,,,
FY12 Elvira ISMU Trip,Completed,Email,7/28/11,8/28/11,0,0,17,0,0,0,0,0,0,,,,,0,0,,,,
FY11 In-Kind Contributions,Completed,Other,7/1/10,6/30/11,0,0,0,3,3,35090,35090,0,0,,,,,0,11696.67,,,,
FY12 Mailing List Add Ins,Completed,Email,8/18/11,7/2/12,0,144,240,6,6,210,210,0,0,,,,,0,35,,,,
FY13 Indian Philanthropy Forum -- March Conference,Completed,Event,3/1/13,3/6/13,0,13,13,0,0,0,0,0,0,,,,,0,0,,,,
FY13 IDCA Conference,Completed,Event,10/1/12,,0,22,33,0,0,0,0,0,0,,,,,0,0,,,,
FY13 Mailing List Add Ins,Completed,Email,7/1/12,6/30/13,0,58,60,3,3,90,90,0,0,,,,,0,30,,,,
FY13 Spring Appeal,Completed,Direct Mail,5/1/13,6/1/13,0,0,0,0,0,0,0,2000,400,,,,,0,0,,,,
FY11 December Postcard 2,Completed,Direct Mail,,,0,0,616,0,0,0,0,0,0,421,-100,,,0,0,,,,
FY12 25 Year Interviews,Completed,Other,9/1/11,9/1/12,0,0,2,0,0,0,0,0,0,,,,,0,0,,,,
FY12 PV My Amazing Women,Completed,Email,9/12/11,,0,27,27,28,28,1390,1390,1000,0,,,,,139,49.64,,,,
FY12 Oakland Peace Center event with GRAVIS,Completed,Event,1/27/12,3/31/12,0,0,0,0,0,0,0,0,0,,,,,0,0,,,,
FY10 USSF GM Crops Workshop,Completed,Panel Event,6/21/10,,0,0,34,0,0,0,0,0,0,,,,,0,0,,,,
FY12 AWID - Global Gender & Climate Alliance,Completed,Panel Event,,,0,0,1,0,0,0,0,0,0,,,,,0,0,,,,
FY11 Staff Appreciation,Completed,Other,12/1/10,1/31/11,0,0,0,8,8,445,445,0,0,,,,,0,55.63,,,,
FY12 Spring Appeal,Completed,Direct Mail,5/7/12,6/29/12,0,14,572,19,19,1500,1500,0,0,,,,,0,78.95,,,,
FY11 GWOB Conference,Completed,Email,5/1/11,8/31/11,0,0,3,0,0,0,0,0,0,,,,,0,0,,,,
FNTG Discussion Group,Completed,Other,,,0,0,8,0,0,0,0,0,0,,,,,0,0,,,,
Gw/oB Africa Grantmakers Group,Completed,Other,7/1/10,,0,0,27,0,0,0,0,0,0,,,,,0,0,,,,
Belva Davis Event 1.25.11,Completed,Other,1/25/11,,0,0,5,0,0,0,0,0,0,,,,,0,0,,,,
UCB Climate Change Workshop 1.27.11,Completed,Other,1/27/11,,0,0,4,0,0,0,0,0,0,,,,,0,0,,,,
FY13 Global Philanthropy Forum,Completed,Event,4/14/13,4/17/13,0,0,18,0,0,0,0,0,0,,,,,0,0,,,,
FY11 Board donations,Completed,Other,7/1/10,6/30/11,0,0,10,9,9,7648,7648,8000,0,0,,0,,96,849.76,,,,
Email List last 2 FY no foundations,Completed,Email,,,0,0,537,0,0,0,0,0,0,,,,,0,0,,,,
FY12 YPG 25 Friends,Completed,Online,12/12/11,,0,61,73,80,80,3298,3298,0,0,,,,,0,41.23,,,,
FY11 Paula Vlamings House Party,Completed,House Party,6/17/11,,0,12,12,12,12,3499,3499,0,0,,,,,0,291.56,,,,
FY11 Seattle Event with Desmond sign ups,Completed,Email,6/27/11,7/27/11,0,4,7,0,0,0,0,0,0,,,,,0,0,,,,
FY17 Foundations,In Progress,,7/1/16,6/30/17,0,0,0,23,18,801500,1451500,0,,,,,,0,44527.78,,,,
FY11 Hope Deferred,Completed,Event,,,0,13,13,0,0,0,0,0,0,,,,,0,0,,,,
FY12 Info Session,Completed,Other,8/1/11,,0,6,6,0,0,0,0,0,0,,,,,0,0,,,,
FY13 SAID Conference,Completed,Event,3/2/13,3/2/13,0,42,42,0,0,0,0,0,0,,,,,0,0,,,,
FY11 Corporations,Completed,Other,7/1/10,6/30/11,0,0,0,9,9,2736,2736,0,0,,,,,0,304.01,,,,
FY11 Global Giving,Completed,Other,7/1/10,6/30/11,0,0,0,148,148,23257,23257,35000,0,,,,,66,157.14,,,,
FY12 Fall Appeal General,Completed,Direct Mail,11/18/11,1/31/12,0,103,2604,112,112,15655,15655,0,0,,,,,0,139.78,,,,
IHRFG Conference 1.24.11,Completed,Other,1/24/11,,0,0,6,0,0,0,0,0,0,,,,,0,0,,,,
FY13 October Appeal,Completed,Direct Mail,10/1/12,10/31/12,0,8,8,10,10,1130,1130,10000,1200,,,,,11,113,,,,
FY11 Fall Appeal General,Completed,Direct Mail,11/23/10,1/31/11,0,100,1810,97,97,10033,10033,8000,2000,1950,414.5102564,20.1,19.5,125,103.43,,,,
FY13 Board Giving,Completed,Other,7/1/12,6/30/13,0,4,5,6,6,6080,6080,0,0,,,,,0,1013.33,,,,
Caring for the Environment,Completed,Direct Mail,11/28/12,,0,4,4,0,0,0,0,0,0,,,,,0,0,,,,
Fostering Local Leadership,Completed,Direct Mail,11/28/12,,0,6,6,0,0,0,0,0,0,,,,,0,0,,,,
Creating Food Sovereignty,Completed,Direct Mail,11/28/12,,0,8,8,0,0,0,0,0,0,,,,,0,0,,,,
Memberships & Subscriptions,Completed,Other,,,0,0,0,0,0,0,0,0,0,,,,,0,0,,,,
FY12 FCYO - Fiscal Sponsor,Completed,Other,7/1/11,6/30/12,0,0,0,7,7,32360,32360,0,0,,,,,0,4622.86,,,,
FY11 Spring Appeal,Completed,Direct Mail,6/13/11,6/30/11,0,25,442,27,27,4310,4310,0,0,,,,,0,159.63,,,,
FY12 Vini's Birthday,Completed,Other,6/1/11,,0,5,5,9,9,421,421,0,0,,,,,0,46.78,,,,
FY12 Human Rights Funders,Completed,Other,7/1/11,,0,142,144,0,0,0,0,0,0,,,,,0,0,,,,
FY12 December Postcard,Completed,Direct Mail,12/19/11,1/31/12,0,0,0,0,0,0,0,15000,500,,,,,0,0,,,,
FY12 Groups,Completed,Other,7/1/10,6/30/11,0,0,0,3,3,715,715,1750,0,,,,,41,238.37,,,,
FY13 Donor Dinner - Biowatch,Completed,Event,8/30/12,,0,31,148,6,6,980,980,0,0,,,,,0,163.33,,,,
FY11 Young Professionals Group,Completed,Other,10/26/10,6/30/11,0,102,129,7,7,452,452,0,0,,,,,0,64.57,,,,
FY12 Spring Appeal Major Donors,Completed,Direct Mail,5/11/12,,0,6,120,9,9,30300,30300,0,0,,,,,0,3366.67,,,,
FY13 Misc,Completed,Other,,,0,5,5,31,31,9740,9740,0,0,,,,,0,314.19,,,,
FY11 Aaron Zukoski House Party,Completed,House Party,12/19/10,12/19/10,0,0,0,7,7,795,795,0,0,,,,,0,113.57,,,,
FY13 Earned Income Prospects,Completed,Other,,,0,0,5,3,0,0,0,0,0,,,,,0,0,,,,
Building Local Economies,Completed,Direct Mail,11/28/12,,0,9,9,0,0,0,0,0,0,,,,,0,0,,,,
Emails Bay Area 3,Completed,Email,,,0,0,266,0,0,0,0,0,0,,,,,0,0,,,,
FY11 Spring Newsletter,Completed,Direct Mail,3/14/11,4/29/11,0,9,2021,15,15,1810,1810,0,0,2545,-28.88015717,169.67,282.78,0,120.67,,,,
FY11 In Motion Event,Completed,Event,5/27/11,7/27/11,0,121,139,38,38,4783,4783,0,0,,,,,0,125.87,,,,
Empowering Women,Completed,Direct Mail,11/28/12,,0,14,14,1,1,35,35,0,0,,,,,0,35,,,,
Protecting Children & Youth,Completed,Direct Mail,11/28/12,,0,12,12,0,0,0,0,0,0,,,,,0,0,,,,
FY12 Nusrat House Party,Completed,House Party,,,0,0,32,0,0,0,0,1000,0,,,,,0,0,,,,
Zim Alliance February,Completed,Event,2/15/13,2/15/13,0,13,188,0,0,0,0,0,0,,,,,0,0,,,,
FY12 Grassroutes The IDEX Ride,Completed,Other,8/15/11,9/16/11,0,103,104,8,8,16459,16459,25000,0,,,,,66,2057.38,,,,
FY12 Benefit Concert,Completed,Event,4/16/12,5/31/12,0,0,0,0,0,0,0,0,500,,,,,0,0,,,,
FY12 IHRFG New York Conference,Completed,Email,7/28/11,9/28/11,0,0,6,0,0,0,0,0,0,,,,,0,0,,,,
FY11 Gifts of Conscience Addresses,Completed,Direct Mail,,,0,0,5,0,0,0,0,0,0,,,,,0,0,,,,
FY11 Board Match,Completed,Other,1/11/11,,0,0,55,0,0,0,0,0,0,,,,,0,0,,,,
FY11 World Affairs Council Refugee event sign up,Completed,,6/15/11,7/29/11,0,0,9,0,0,0,0,0,0,,,,,0,0,,,,
FY13 Ken Tamura's Challenge,Completed,Online,,,0,12,12,12,12,895,895,1000,0,,,,,90,74.58,,,,
FY12 Foundations,Completed,,2/8/11,6/30/12,0,0,1,167,33,309096,409096,0,0,,,,,0,9366.54,,,,
FY13 One Billion Rising - Fiscal Sponsor,Completed,Other,12/1/12,3/31/13,0,45,46,16,16,3560,3560,5000,0,,,,,71,222.5,,,,
FY11 Fall Appeal P/MIDs,Completed,Direct Mail,7/1/10,6/30/11,0,56,172,72,71,107883,108883,0,0,,,,,0,1519.47,,,,
FY11 Latin America General,Completed,Other,7/1/10,6/30/11,0,0,0,0,0,0,0,15000,0,,,,,0,0,,,,
FY12 Global Giving,Completed,Online,7/1/11,6/30/12,0,0,0,37,37,6237,6237,0,0,,,,,0,168.55,,,,
FY12 Housewarming Postcard,Completed,Direct Mail,11/6/11,12/31/11,0,0,451,0,0,0,0,0,0,,,,,0,0,,,,
Promoting Community Health,Completed,Direct Mail,11/28/12,,0,7,7,0,0,0,0,0,0,,,,,0,0,,,,
FY12 Donor Dinner,Completed,Event,8/29/11,10/31/11,0,65,192,20,20,11575,11575,0,0,,,,,0,578.75,,,,
FY12 Growth Plan Update,Completed,Email,9/13/11,12/28/11,0,0,53,0,0,0,0,0,0,,,,,0,0,,,,
FY12 San Diego Mixer,Completed,House Party,9/14/11,11/14/11,0,0,0,0,0,0,0,0,0,,,,,0,0,,,,
FY12 Young Professionals Group,Completed,Other,7/1/11,6/30/12,0,1,1,1,1,130,130,0,0,,,,,0,130,,,,
FY13 Zimbabwe Alliance,Completed,Other,12/1/12,4/30/13,0,3,3,4,4,1130,1130,0,0,,,,,0,282.5,,,,
FY13 Learning Salon,Completed,Brown Bag/Employee Presentation,5/15/13,,0,1,308,0,0,0,0,0,0,,,,,0,0,,,,
FY13 Soulful Planning,Completed,Event,,,0,1,9,0,0,0,0,0,0,,,,,0,0,,,,
FY08 Newsletter (Spring),Completed,Direct Mail,4/21/08,5/9/08,0,0,0,13,13,1860,1860,,,,,,,0,143.08,,,,
FY08 December Postcard,Completed,Direct Mail,12/11/07,1/31/08,0,17,17,18,18,9300,9300,0,410,,,,,0,516.67,,,,
FY08 Rumsey House Party,Completed,House Party,9/7/07,9/7/07,0,0,0,21,21,3007,3007,,,,,,,0,143.21,,,,
FY08 Gift of Conscience,Completed,Other,7/1/07,6/30/08,0,0,0,11,11,1055,1055,,,,,,,0,95.91,,,,
FY09 Groups,Completed,Other,7/1/08,6/30/09,0,0,0,4,4,510,510,0,0,0,,0,,0,127.5,,,,
FY13 Agents of Change,Completed,Online,7/1/12,6/30/13,0,6,6,73,73,1733,1733,0,0,,,,,0,23.74,,,,
FY09 Furia/Rubenstein,Completed,Other,7/22/08,10/31/08,0,0,0,9,9,850,850,0,0,0,,0,,0,94.44,,,,
